borrower_type,monthly_inflow,upi_tx_count_monthly,upi_debit_to_credit_ratio,cashflow_volatility,utility_payment_delay_days,telecom_recharge_regularity,gst_filing_punctuality,ecommerce_cancellation_rate,mobility_activity_score,is_default
gig_worker,35853.38,43,0.955,0.323,2,0.367,0.0,0.06,53.7,0
gig_worker,20979.8,42,1.033,0.285,29,0.498,0.0,0.174,77.4,0
kirana_merchant,38456.19,36,1.084,0.199,11,0.936,0.397,0.248,64.5,0
gig_worker,31398.87,45,1.046,0.137,3,0.211,0.0,0.32,45.4,0
kirana_merchant,28766.62,50,0.834,0.874,0,0.478,0.946,0.228,38.3,0
freelancer,19814.19,53,0.973,0.431,5,0.691,0.0,0.099,19.5,0
kirana_merchant,20984.97,42,0.72,0.722,1,0.318,0.438,0.065,54.5,1
freelancer,27915.67,47,0.632,0.836,18,0.748,0.0,0.155,40.3,1
gig_worker,91120.42,53,0.628,0.263,6,0.434,0.0,0.076,83.9,0
gig_worker,31276.47,46,0.721,0.796,1,0.954,0.0,0.252,60.8,0
kirana_merchant,19819.19,44,0.619,0.666,0,0.26,0.935,0.194,40.5,0
gig_worker,17744.05,56,1.025,0.562,0,0.893,0.0,0.101,68.3,0
kirana_merchant,21038.65,40,0.845,0.747,0,0.681,0.023,0.224,49.2,0
gig_worker,79909.24,49,1.005,0.189,2,0.695,0.0,0.051,75.9,0
gig_worker,22034.65,33,1.07,0.311,1,0.213,0.0,0.228,54.5,0
freelancer,42337.79,50,1.097,0.205,0,0.925,0.0,0.24,38.4,0
gig_worker,22293.18,45,1.069,0.817,4,0.88,0.0,0.026,46.0,0
freelancer,30656.26,50,0.958,0.179,0,0.559,0.0,0.241,44.2,0
freelancer,39969.53,35,0.821,0.884,6,0.588,0.0,0.127,12.1,0
kirana_merchant,20212.34,50,0.899,0.188,6,0.432,0.675,0.036,54.1,0
kirana_merchant,19524.87,42,1.008,0.629,1,0.463,0.27,0.16,32.2,1
kirana_merchant,61662.72,59,1.049,0.628,2,0.582,0.172,0.138,52.6,0
freelancer,44015.47,33,1.078,0.845,0,0.263,0.0,0.252,50.1,0
gig_worker,39948.09,39,0.965,0.359,3,0.262,0.0,0.249,58.3,0
kirana_merchant,39880.32,45,0.87,0.366,0,0.853,0.552,0.163,63.9,0
kirana_merchant,33853.16,36,1.084,0.777,0,0.502,0.938,0.237,27.2,1
kirana_merchant,73783.32,47,1.079,0.883,1,0.984,0.681,0.302,46.1,0
kirana_merchant,27500.35,57,0.839,0.124,2,0.27,0.451,0.039,31.0,0
gig_worker,35904.98,39,0.924,0.608,2,0.95,0.0,0.069,48.2,1
kirana_merchant,13023.93,45,1.005,0.295,6,0.72,0.24,0.174,48.1,0
freelancer,17810.08,49,0.817,0.682,3,0.446,0.0,0.298,50.4,0
gig_worker,14758.74,49,1.015,0.718,1,0.413,0.0,0.187,66.2,0
freelancer,50870.16,49,0.656,0.71,1,0.964,0.0,0.08,47.3,0
kirana_merchant,7508.04,49,0.841,0.448,5,0.471,0.483,0.333,27.0,0
freelancer,22001.04,52,0.841,0.226,0,0.621,0.0,0.094,44.6,0
kirana_merchant,6021.83,51,0.942,0.568,8,0.964,0.29,0.293,5.0,0
kirana_merchant,17753.82,52,0.658,0.731,7,0.366,0.67,0.35,63.8,0
gig_worker,21047.26,45,0.652,0.83,5,0.346,0.0,0.221,64.0,0
freelancer,53768.1,39,1.05,0.462,1,0.372,0.0,0.084,18.3,0
gig_worker,32804.27,47,0.752,0.297,0,0.389,0.0,0.185,64.0,0
freelancer,17737.37,46,0.763,0.195,0,0.764,0.0,0.244,64.3,0
freelancer,45843.19,43,0.988,0.738,1,0.338,0.0,0.066,42.8,0
gig_worker,27144.13,65,0.807,0.528,6,0.232,0.0,0.342,69.1,1
gig_worker,27413.3,46,1.016,0.639,0,0.776,0.0,0.336,99.0,0
kirana_merchant,14745.07,46,0.801,0.227,2,0.971,0.602,0.187,54.9,0
gig_worker,16399.29,48,0.98,0.105,7,0.636,0.0,0.289,76.7,0
freelancer,17808.86,48,0.863,0.874,7,0.491,0.0,0.347,52.6,0
gig_worker,27535.48,52,1.068,0.749,7,0.225,0.0,0.241,89.3,0
gig_worker,27971.54,53,0.764,0.42,0,0.656,0.0,0.214,63.2,0
freelancer,58223.62,48,0.781,0.466,0,0.462,0.0,0.221,19.9,0
kirana_merchant,32615.0,47,1.085,0.843,5,0.72,0.591,0.196,28.2,0
freelancer,6948.06,40,0.969,0.266,2,0.965,0.0,0.319,37.0,0
gig_worker,30678.61,61,0.986,0.742,12,0.218,0.0,0.066,70.9,0
kirana_merchant,13029.77,41,0.748,0.114,3,0.753,0.523,0.179,34.1,0
kirana_merchant,16597.62,43,0.866,0.801,1,0.738,0.928,0.025,29.1,0
kirana_merchant,17924.35,56,0.757,0.571,9,0.675,0.222,0.314,63.8,0
kirana_merchant,19309.08,40,0.73,0.482,1,0.782,0.095,0.123,34.6,0
kirana_merchant,13526.76,42,0.868,0.665,12,0.499,0.987,0.176,25.9,0
kirana_merchant,29784.43,48,1.094,0.154,1,0.298,0.493,0.231,38.4,0
gig_worker,13287.76,47,0.707,0.256,4,0.204,0.0,0.06,59.5,0
kirana_merchant,32155.34,39,0.721,0.426,5,0.52,0.343,0.268,31.2,0
gig_worker,82329.56,51,0.722,0.594,1,0.844,0.0,0.188,71.8,0
kirana_merchant,13840.03,50,0.996,0.216,1,0.673,0.841,0.042,53.0,0
gig_worker,23335.82,35,0.855,0.404,1,0.318,0.0,0.07,99.0,0
kirana_merchant,7618.02,44,0.792,0.309,5,0.455,0.502,0.216,72.3,0
kirana_merchant,23144.96,49,1.022,0.616,9,0.731,0.831,0.163,23.3,0
gig_worker,37099.49,39,0.749,0.835,5,0.941,0.0,0.32,69.3,0
gig_worker,38573.45,36,0.796,0.233,1,0.887,0.0,0.239,78.7,0
gig_worker,27964.24,50,0.637,0.251,0,0.706,0.0,0.216,77.6,0
kirana_merchant,41966.7,53,0.659,0.58,2,0.375,0.526,0.259,34.3,0
freelancer,96088.73,41,0.668,0.463,0,0.896,0.0,0.19,48.6,0
gig_worker,63332.4,49,0.773,0.674,0,0.937,0.0,0.179,58.9,0
kirana_merchant,20717.61,46,0.862,0.33,3,0.927,0.723,0.343,34.5,0
gig_worker,13022.68,33,0.6,0.536,8,0.653,0.0,0.317,67.2,0
kirana_merchant,21958.82,45,0.695,0.409,2,0.897,0.139,0.079,33.7,1
freelancer,16755.95,40,0.688,0.325,0,0.835,0.0,0.087,57.7,0
gig_worker,33714.18,48,0.727,0.683,0,0.695,0.0,0.107,78.4,0
kirana_merchant,14904.27,49,0.683,0.737,8,0.986,0.42,0.261,52.1,0
gig_worker,25941.23,54,0.698,0.363,0,0.395,0.0,0.329,64.0,0
gig_worker,40904.98,34,1.092,0.598,11,0.699,0.0,0.061,99.0,0
gig_worker,25582.2,45,0.897,0.243,1,0.221,0.0,0.348,53.9,0
gig_worker,16761.55,43,0.981,0.733,7,0.561,0.0,0.127,84.2,0
kirana_merchant,48407.35,48,1.01,0.325,2,0.867,0.33,0.134,75.3,0
kirana_merchant,10514.49,49,0.934,0.237,4,0.388,0.328,0.196,50.7,1
kirana_merchant,22836.2,48,0.952,0.852,11,0.801,0.208,0.052,47.3,1
gig_worker,26348.59,48,0.916,0.438,4,0.809,0.0,0.325,67.5,0
gig_worker,27118.04,43,0.925,0.615,0,0.708,0.0,0.026,80.9,0
kirana_merchant,29444.08,51,1.064,0.747,1,0.915,0.53,0.022,43.4,0
freelancer,36505.56,40,0.693,0.649,4,0.559,0.0,0.34,60.8,0
gig_worker,26431.09,47,0.737,0.552,3,0.367,0.0,0.153,64.1,0
freelancer,22381.07,48,0.647,0.397,21,0.721,0.0,0.102,25.1,1
kirana_merchant,21943.04,49,1.019,0.835,0,0.959,0.293,0.111,28.7,0
kirana_merchant,19815.94,46,0.824,0.207,2,0.704,0.348,0.183,69.3,0
kirana_merchant,39885.64,49,1.054,0.807,0,0.903,0.577,0.315,52.2,0
gig_worker,19472.06,39,0.806,0.668,0,0.893,0.0,0.266,91.8,0
gig_worker,41084.47,45,0.821,0.557,4,0.205,0.0,0.077,67.6,0
kirana_merchant,27159.97,49,0.824,0.36,10,0.262,0.584,0.133,21.3,1
gig_worker,20730.73,38,0.906,0.217,2,0.642,0.0,0.16,86.8,1
freelancer,36651.28,42,0.983,0.455,0,0.884,0.0,0.346,49.5,0
kirana_merchant,18699.89,47,0.776,0.727,6,0.507,0.908,0.277,33.0,1
gig_worker,37015.5,34,0.915,0.696,7,0.911,0.0,0.182,58.3,0
kirana_merchant,29922.41,60,0.702,0.616,0,0.482,0.947,0.102,33.1,0
gig_worker,19967.03,66,0.877,0.894,2,0.533,0.0,0.072,68.9,0
kirana_merchant,35042.52,40,0.873,0.878,2,0.459,0.045,0.076,45.9,1
kirana_merchant,35358.53,51,1.044,0.42,5,0.553,0.651,0.13,51.8,0
freelancer,47990.57,39,1.048,0.254,6,0.567,0.0,0.194,29.9,1
kirana_merchant,43611.38,44,0.844,0.471,5,0.585,0.677,0.076,77.0,0
kirana_merchant,34393.99,51,0.612,0.776,0,0.429,0.939,0.263,76.7,0
kirana_merchant,15309.13,37,1.022,0.467,10,0.508,0.287,0.329,48.7,1
freelancer,91518.23,42,0.6,0.369,1,0.683,0.0,0.194,41.1,1
gig_worker,13335.59,56,0.839,0.693,4,0.207,0.0,0.141,63.6,1
gig_worker,43244.77,45,0.61,0.62,3,0.638,0.0,0.251,88.7,0
gig_worker,33377.65,62,0.776,0.875,6,0.215,0.0,0.248,75.0,0
gig_worker,14956.91,36,0.918,0.539,0,0.686,0.0,0.289,52.6,0
kirana_merchant,25282.04,52,0.786,0.874,6,0.503,0.671,0.328,34.5,1
kirana_merchant,25864.42,36,1.063,0.333,0,0.571,0.734,0.133,45.2,0
kirana_merchant,51678.2,54,0.92,0.792,0,0.848,0.099,0.063,61.8,0
gig_worker,18832.6,49,0.923,0.381,1,0.738,0.0,0.319,38.6,0
kirana_merchant,23600.6,41,0.787,0.748,7,0.944,0.268,0.081,50.0,0
gig_worker,8366.28,38,0.619,0.841,3,0.397,0.0,0.137,71.9,0
kirana_merchant,64047.57,48,0.969,0.599,2,0.518,0.457,0.159,35.9,1
kirana_merchant,15752.68,41,0.958,0.683,0,0.378,0.614,0.304,37.1,0
gig_worker,31680.46,41,0.865,0.867,9,0.344,0.0,0.213,86.2,0
gig_worker,25573.09,56,0.808,0.4,22,0.734,0.0,0.217,71.9,1
gig_worker,25616.69,51,0.869,0.509,0,0.726,0.0,0.274,37.8,1
freelancer,40333.23,39,0.973,0.819,6,0.593,0.0,0.349,35.1,1
freelancer,62045.99,46,0.956,0.638,0,0.317,0.0,0.338,44.3,1
kirana_merchant,30508.08,46,0.929,0.799,4,0.654,0.733,0.063,33.3,1
gig_worker,37329.49,45,1.052,0.595,2,0.607,0.0,0.345,47.5,0
kirana_merchant,31711.85,48,0.905,0.692,0,0.655,0.249,0.259,63.0,0
kirana_merchant,44746.37,44,0.607,0.11,0,0.559,0.19,0.23,36.6,0
kirana_merchant,21344.34,48,0.909,0.372,1,0.265,0.997,0.151,47.6,0
gig_worker,46059.77,45,0.906,0.716,4,0.529,0.0,0.347,44.8,0
gig_worker,46875.48,41,0.635,0.423,6,0.452,0.0,0.124,88.6,0
kirana_merchant,46224.65,48,0.814,0.39,5,0.416,0.792,0.333,23.9,0
gig_worker,19339.91,44,0.926,0.861,1,0.73,0.0,0.137,90.7,0
gig_worker,24731.45,44,0.952,0.542,2,0.737,0.0,0.067,63.0,0
gig_worker,30325.17,49,1.047,0.254,0,0.979,0.0,0.228,77.6,0
kirana_merchant,13555.92,38,1.021,0.478,2,0.708,0.665,0.31,57.6,0
freelancer,59722.26,48,0.658,0.515,7,0.438,0.0,0.333,17.2,0
freelancer,26738.55,39,0.904,0.891,3,0.627,0.0,0.29,44.7,1
kirana_merchant,31006.87,47,0.898,0.675,0,0.708,0.745,0.151,54.8,0
kirana_merchant,20160.85,48,0.752,0.516,0,0.528,0.07,0.276,14.7,0
gig_worker,13857.21,39,0.692,0.446,0,0.71,0.0,0.027,65.4,0
kirana_merchant,19890.25,35,0.7,0.832,1,0.855,0.627,0.081,21.1,0
gig_worker,30019.49,47,0.689,0.617,2,0.705,0.0,0.209,42.4,0
kirana_merchant,37673.58,43,1.003,0.385,1,0.336,0.442,0.114,40.3,0
gig_worker,29169.99,37,0.674,0.472,2,0.459,0.0,0.242,67.7,0
gig_worker,31995.87,58,0.732,0.322,4,0.971,0.0,0.247,62.2,0
gig_worker,22731.04,39,0.709,0.868,2,0.489,0.0,0.223,59.8,0
gig_worker,34479.64,50,0.956,0.662,1,0.864,0.0,0.253,49.1,0
gig_worker,56467.27,31,0.679,0.414,2,0.312,0.0,0.123,72.0,1
gig_worker,38268.97,43,0.612,0.247,8,0.988,0.0,0.092,80.5,0
freelancer,40326.78,43,0.787,0.242,1,0.369,0.0,0.023,41.4,0
kirana_merchant,31163.67,48,0.753,0.482,4,0.969,0.912,0.237,17.3,0
kirana_merchant,12688.13,32,0.799,0.474,8,0.24,0.788,0.213,56.0,0
freelancer,15957.22,42,0.977,0.434,1,0.661,0.0,0.13,51.5,0
freelancer,33773.71,49,0.606,0.781,8,0.343,0.0,0.135,71.6,1
kirana_merchant,26756.44,50,0.619,0.883,4,0.716,0.684,0.09,32.3,0
freelancer,33520.8,37,0.728,0.384,5,0.919,0.0,0.134,45.5,0
gig_worker,62206.31,39,1.045,0.336,0,0.439,0.0,0.12,94.4,0
gig_worker,38677.68,57,0.685,0.716,7,0.522,0.0,0.341,80.4,0
kirana_merchant,50485.58,40,1.099,0.46,0,0.237,0.748,0.186,92.7,0
kirana_merchant,28207.43,46,1.003,0.274,1,0.661,0.171,0.212,39.8,0
kirana_merchant,17968.8,33,0.828,0.245,1,0.683,0.436,0.027,36.7,0
gig_worker,26135.95,35,0.974,0.324,4,0.694,0.0,0.293,46.4,0
gig_worker,17990.95,45,0.859,0.101,6,0.931,0.0,0.269,71.3,0
kirana_merchant,58638.54,32,0.883,0.853,3,0.274,0.406,0.189,44.7,0
gig_worker,39942.47,44,0.89,0.444,18,0.577,0.0,0.277,76.2,0
kirana_merchant,34900.49,47,0.924,0.166,3,0.437,0.275,0.074,52.6,0
kirana_merchant,49909.75,39,0.63,0.232,0,0.395,0.986,0.168,41.2,0
kirana_merchant,9798.37,46,0.908,0.359,23,0.469,0.088,0.099,49.0,1
kirana_merchant,36100.75,42,0.958,0.541,6,0.951,0.497,0.215,39.7,0
freelancer,13970.13,52,0.755,0.663,9,0.402,0.0,0.225,44.7,0
kirana_merchant,26805.76,44,1.089,0.346,3,0.268,0.443,0.345,22.4,1
kirana_merchant,23020.63,56,0.672,0.866,2,0.529,0.548,0.026,32.9,0
kirana_merchant,37453.98,39,1.055,0.708,0,0.413,0.779,0.138,49.2,0
gig_worker,30154.63,40,0.938,0.761,3,0.433,0.0,0.333,82.2,1
gig_worker,52709.9,42,0.932,0.359,2,0.562,0.0,0.34,70.0,0
gig_worker,19911.47,42,1.038,0.405,4,0.852,0.0,0.208,67.1,0
kirana_merchant,38351.82,55,1.016,0.53,2,0.868,0.622,0.207,40.4,0
kirana_merchant,29176.29,53,0.773,0.461,3,0.587,0.441,0.16,30.1,0
freelancer,11876.95,57,0.953,0.308,2,0.87,0.0,0.09,32.5,0
gig_worker,16995.29,54,0.625,0.898,10,0.333,0.0,0.045,86.8,1
gig_worker,24960.78,38,0.832,0.779,13,0.413,0.0,0.147,70.5,0
freelancer,46917.51,34,1.069,0.29,1,0.328,0.0,0.134,31.8,0
gig_worker,33923.44,43,0.737,0.814,5,0.937,0.0,0.203,69.4,0
kirana_merchant,15006.66,55,0.625,0.57,3,0.805,0.805,0.135,73.0,0
kirana_merchant,25080.4,49,0.891,0.11,0,0.814,0.57,0.162,57.9,0
kirana_merchant,73784.45,54,0.778,0.377,8,0.749,0.758,0.22,57.8,0
gig_worker,28441.7,57,0.79,0.121,2,0.211,0.0,0.253,79.6,0
gig_worker,22841.57,44,0.891,0.17,5,0.369,0.0,0.024,79.8,0
gig_worker,34401.99,44,0.911,0.243,0,0.898,0.0,0.09,84.1,0
kirana_merchant,39406.91,42,0.819,0.488,8,0.585,0.111,0.082,71.9,1
kirana_merchant,21416.48,49,0.854,0.405,2,0.794,0.271,0.158,47.2,0
gig_worker,34588.88,45,1.097,0.219,5,0.374,0.0,0.046,75.0,0
kirana_merchant,22823.71,36,1.079,0.416,17,0.252,0.132,0.318,66.2,1
freelancer,38548.17,47,0.954,0.343,3,0.862,0.0,0.16,38.3,0
gig_worker,29285.46,51,0.681,0.428,7,0.387,0.0,0.295,86.5,0
kirana_merchant,34234.32,43,0.78,0.238,3,0.376,0.372,0.324,38.4,0
kirana_merchant,18405.56,41,1.042,0.588,3,0.52,0.847,0.087,22.0,0
gig_worker,17842.83,33,0.812,0.136,0,0.637,0.0,0.184,53.9,0
gig_worker,43163.42,42,1.078,0.41,4,0.702,0.0,0.34,96.1,1
kirana_merchant,25856.1,38,0.844,0.816,0,0.94,0.208,0.291,89.4,1
freelancer,31024.03,32,1.031,0.436,2,0.805,0.0,0.034,36.8,0
freelancer,23081.86,47,0.618,0.453,5,0.621,0.0,0.34,28.0,0
kirana_merchant,42165.74,52,0.817,0.154,8,0.315,0.551,0.028,49.7,0
kirana_merchant,19852.69,36,0.95,0.584,1,0.309,0.254,0.031,33.4,0
gig_worker,25139.6,28,1.032,0.849,0,0.305,0.0,0.233,99.0,0
kirana_merchant,39854.73,45,0.905,0.333,1,0.989,0.238,0.229,31.8,0
kirana_merchant,48362.69,52,0.687,0.415,0,0.85,0.373,0.293,23.1,0
gig_worker,20704.79,47,1.043,0.571,1,0.269,0.0,0.12,73.9,0
kirana_merchant,71671.04,40,0.887,0.175,2,0.443,0.695,0.18,55.0,0
kirana_merchant,31464.68,49,0.654,0.86,1,0.457,0.335,0.302,43.4,1
gig_worker,15971.1,45,0.832,0.474,5,0.452,0.0,0.269,91.8,0
freelancer,32355.07,37,0.949,0.192,2,0.204,0.0,0.16,37.3,0
gig_worker,22214.5,42,0.826,0.368,10,0.546,0.0,0.301,66.8,0
gig_worker,33424.16,35,1.035,0.399,3,0.886,0.0,0.179,99.0,0
gig_worker,26332.83,50,0.812,0.376,22,0.287,0.0,0.195,77.7,0
kirana_merchant,27921.07,55,0.892,0.655,0,0.251,0.413,0.213,33.5,0
kirana_merchant,17055.08,46,0.706,0.376,6,0.719,0.379,0.143,27.1,0
gig_worker,44135.98,41,0.856,0.359,7,0.818,0.0,0.115,56.2,0
kirana_merchant,15092.25,39,0.711,0.358,8,0.395,0.238,0.244,5.0,1
gig_worker,15453.91,42,0.713,0.722,12,0.926,0.0,0.072,89.6,0
kirana_merchant,32327.71,39,0.74,0.347,1,0.746,0.003,0.185,41.9,0
kirana_merchant,59959.35,54,0.622,0.111,2,0.581,0.466,0.125,56.0,0
kirana_merchant,22554.81,45,0.682,0.392,2,0.84,0.229,0.146,47.4,0
freelancer,38196.0,43,0.812,0.323,0,0.459,0.0,0.172,5.0,1
gig_worker,46012.58,42,0.666,0.827,0,0.416,0.0,0.087,68.7,0
gig_worker,40430.6,46,0.667,0.482,0,0.41,0.0,0.182,69.8,0
kirana_merchant,23026.38,38,1.084,0.288,8,0.347,0.214,0.263,66.8,1
freelancer,15591.43,54,0.814,0.885,9,0.903,0.0,0.097,50.3,0
gig_worker,8921.56,36,0.802,0.297,4,0.514,0.0,0.301,69.6,0
gig_worker,23590.04,37,0.734,0.71,2,0.899,0.0,0.163,71.5,0
gig_worker,48486.65,49,0.856,0.62,21,0.907,0.0,0.266,61.4,1
kirana_merchant,15335.37,48,0.898,0.47,5,0.305,0.696,0.244,29.5,0
gig_worker,38181.44,48,0.809,0.425,4,0.232,0.0,0.154,61.5,0
kirana_merchant,16729.41,46,0.797,0.798,6,0.975,0.301,0.288,40.7,0
freelancer,28368.55,42,0.95,0.48,10,0.369,0.0,0.03,37.7,0
kirana_merchant,38326.46,57,1.075,0.4,2,0.506,0.362,0.106,39.5,1
gig_worker,19346.22,36,1.039,0.383,5,0.304,0.0,0.024,76.8,0
kirana_merchant,29297.06,42,0.659,0.321,13,0.957,0.276,0.282,37.0,1
gig_worker,21860.89,45,0.926,0.427,5,0.273,0.0,0.064,81.7,0
freelancer,38275.85,48,0.604,0.196,3,0.846,0.0,0.155,65.5,0
kirana_merchant,30262.32,48,0.917,0.152,2,0.889,0.208,0.222,64.0,0
gig_worker,27674.14,49,0.832,0.533,0,0.939,0.0,0.34,57.6,0
kirana_merchant,58640.16,45,0.846,0.463,0,0.568,0.508,0.35,34.8,0
kirana_merchant,37464.65,44,0.894,0.239,4,0.65,0.067,0.307,64.1,0
kirana_merchant,19050.03,38,0.971,0.185,0,0.607,0.997,0.197,17.9,0
gig_worker,25772.62,32,0.965,0.215,2,0.631,0.0,0.064,67.9,0
freelancer,25901.36,42,0.622,0.352,0,0.393,0.0,0.139,36.7,0
freelancer,28005.6,52,0.968,0.461,1,0.662,0.0,0.306,31.9,0
kirana_merchant,95059.15,44,1.015,0.255,0,0.408,0.558,0.336,40.4,0
freelancer,32384.2,37,0.634,0.704,11,0.668,0.0,0.237,40.9,0
gig_worker,9721.05,54,0.761,0.255,3,0.859,0.0,0.286,72.8,0
kirana_merchant,20508.62,46,0.996,0.199,1,0.202,0.495,0.284,31.0,1
kirana_merchant,10237.51,48,0.847,0.896,5,0.891,0.464,0.338,72.0,0
kirana_merchant,22813.34,49,0.947,0.458,30,0.556,0.36,0.287,43.8,1
kirana_merchant,9960.12,47,0.851,0.236,3,0.688,0.809,0.14,49.9,0
gig_worker,17399.64,45,1.089,0.816,0,0.405,0.0,0.177,67.7,0
gig_worker,12577.18,60,1.068,0.285,7,0.999,0.0,0.101,72.5,0
gig_worker,32600.41,47,0.741,0.84,17,0.692,0.0,0.071,61.4,1
gig_worker,26910.44,51,0.793,0.195,2,0.978,0.0,0.137,54.5,0
kirana_merchant,31303.37,49,0.816,0.773,6,0.818,0.372,0.242,54.9,0
gig_worker,25532.93,44,0.652,0.247,2,0.901,0.0,0.216,59.2,0
gig_worker,13397.87,58,0.802,0.851,5,0.407,0.0,0.268,67.9,0
kirana_merchant,34778.71,46,0.987,0.559,2,0.715,0.879,0.315,72.5,0
kirana_merchant,70341.15,50,1.023,0.252,5,0.483,0.417,0.037,64.6,0
freelancer,33011.34,51,1.043,0.776,2,0.854,0.0,0.102,24.5,1
kirana_merchant,21742.79,51,0.607,0.412,10,0.981,0.576,0.278,50.9,0
gig_worker,13173.55,46,0.994,0.686,6,0.371,0.0,0.325,52.0,1
freelancer,17085.18,46,0.851,0.615,2,0.789,0.0,0.329,55.3,0
kirana_merchant,33742.72,41,0.703,0.671,1,0.796,0.652,0.081,45.4,0
gig_worker,46007.47,45,0.849,0.375,13,0.48,0.0,0.054,88.4,0
kirana_merchant,30651.38,40,1.022,0.851,2,0.315,0.976,0.327,48.5,0
freelancer,40132.58,46,0.817,0.548,1,0.455,0.0,0.042,29.8,1
gig_worker,38324.29,44,1.095,0.162,1,0.334,0.0,0.238,68.1,0
gig_worker,34657.42,54,0.908,0.153,11,0.907,0.0,0.152,66.6,0
gig_worker,19356.11,48,0.845,0.691,2,0.862,0.0,0.112,78.2,1
gig_worker,29347.47,47,0.747,0.78,4,0.812,0.0,0.11,61.3,0
kirana_merchant,17602.76,38,0.606,0.656,21,0.807,0.307,0.138,44.2,1
kirana_merchant,27138.66,45,0.905,0.322,3,0.52,0.621,0.14,45.9,0
gig_worker,31743.14,44,0.889,0.281,7,0.926,0.0,0.289,49.8,0
freelancer,62279.77,34,0.858,0.552,11,0.848,0.0,0.195,19.4,1
kirana_merchant,13976.52,43,0.869,0.257,12,0.925,0.507,0.331,17.2,0
kirana_merchant,34226.44,48,1.022,0.403,0,0.599,0.834,0.231,39.3,0
freelancer,56422.22,45,0.758,0.603,0,0.427,0.0,0.155,34.6,0
gig_worker,39317.46,58,0.875,0.328,2,0.719,0.0,0.196,82.2,0
kirana_merchant,40801.44,43,0.94,0.4,1,0.746,0.428,0.33,30.0,0
kirana_merchant,36092.76,41,0.705,0.388,1,0.765,0.89,0.295,22.7,0
freelancer,51491.25,41,1.062,0.468,0,0.51,0.0,0.325,27.9,0
kirana_merchant,15619.27,47,0.969,0.639,7,0.613,0.739,0.254,50.2,0
gig_worker,13454.07,44,0.627,0.726,0,0.289,0.0,0.229,96.0,0
freelancer,26818.12,47,1.033,0.632,4,0.68,0.0,0.101,37.5,0
gig_worker,9130.89,47,1.065,0.121,6,0.572,0.0,0.137,57.5,0
freelancer,49777.73,42,0.997,0.817,0,0.352,0.0,0.039,42.1,1
freelancer,49531.18,54,0.813,0.565,4,0.594,0.0,0.21,37.6,1
gig_worker,21662.21,48,1.097,0.836,0,0.479,0.0,0.231,72.5,1
kirana_merchant,22350.74,40,0.662,0.871,0,0.724,0.669,0.268,22.6,0
gig_worker,25947.39,50,0.868,0.474,1,0.846,0.0,0.302,77.5,0
kirana_merchant,27612.13,42,0.685,0.833,3,0.528,0.185,0.117,36.5,0
kirana_merchant,28669.44,36,0.82,0.392,14,0.867,0.221,0.078,36.4,0
kirana_merchant,35564.96,49,1.064,0.308,5,0.339,0.245,0.059,58.4,0
freelancer,24678.48,58,0.997,0.159,0,0.709,0.0,0.199,44.7,0
kirana_merchant,43113.72,41,0.991,0.461,7,0.543,0.566,0.108,25.8,0
kirana_merchant,33623.28,43,0.777,0.651,0,0.501,0.911,0.085,68.0,1
freelancer,19861.1,56,1.067,0.881,0,0.383,0.0,0.204,51.7,0
freelancer,52446.89,49,0.784,0.517,4,0.394,0.0,0.218,23.4,0
gig_worker,13641.49,53,0.62,0.688,4,0.567,0.0,0.066,41.4,1
freelancer,25691.54,50,0.919,0.817,1,0.871,0.0,0.193,41.3,0
gig_worker,43628.19,50,0.781,0.535,2,0.641,0.0,0.051,75.7,0
freelancer,18740.9,55,0.677,0.233,2,0.658,0.0,0.28,22.0,0
gig_worker,31406.74,41,1.067,0.779,2,0.77,0.0,0.214,97.5,0
gig_worker,35301.11,51,0.919,0.559,32,0.433,0.0,0.217,70.5,1
kirana_merchant,17496.18,39,1.07,0.707,0,0.504,0.674,0.257,43.4,1
kirana_merchant,25945.7,41,0.891,0.627,6,0.879,0.171,0.091,49.4,0
gig_worker,24878.22,46,0.632,0.149,1,0.241,0.0,0.082,89.2,0
gig_worker,20417.16,48,0.615,0.235,0,0.611,0.0,0.123,76.0,0
kirana_merchant,85036.63,59,1.05,0.329,1,0.628,0.14,0.211,45.3,0
freelancer,18369.5,47,0.619,0.328,0,0.642,0.0,0.292,14.3,0
gig_worker,44465.33,40,0.908,0.771,15,0.809,0.0,0.347,71.7,0
gig_worker,22105.89,42,0.749,0.579,5,0.561,0.0,0.291,90.8,1
kirana_merchant,15625.85,44,0.944,0.167,0,0.875,0.395,0.183,33.3,0
gig_worker,28322.37,38,0.742,0.41,4,0.471,0.0,0.21,73.8,0
freelancer,37217.96,43,0.619,0.545,4,0.472,0.0,0.113,5.0,1
freelancer,42627.5,36,0.965,0.301,2,0.971,0.0,0.094,57.4,0
kirana_merchant,58755.06,34,0.755,0.132,10,0.46,0.45,0.067,42.3,0
gig_worker,117315.61,30,0.875,0.404,2,0.354,0.0,0.191,69.7,0
kirana_merchant,30493.14,47,0.987,0.469,3,0.641,0.837,0.078,52.3,0
kirana_merchant,19311.46,51,0.951,0.824,0,0.962,0.788,0.038,48.8,1
freelancer,33739.93,31,0.774,0.827,7,0.823,0.0,0.079,42.3,0
kirana_merchant,23550.29,41,0.974,0.5,15,0.549,0.758,0.147,25.4,0
kirana_merchant,42743.96,41,1.063,0.477,0,0.605,0.125,0.095,65.2,0
